audio_file_stem,lyric_file_stem,quadrant,genres,popular_genre,label
MT0000008995,MT0000008995,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000011357,MT0000011357,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000026571,MT0000026571,Q4,Vocal,Vocal,6
MT0000027422,MT0000027422,Q3,Pop/Rock,Pop/Rock,0
MT0000031210,MT0000031210,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000038502,MT0000038502,Q2,Pop/Rock,Pop/Rock,0
MT0000040773,MT0000040773,Q1,"Easy Listening,Vocal",Vocal,6
MT0000045345,MT0000045345,Q1,R&B,R&B,3
MT0000066421,MT0000066421,Q4,"Country,Latin,Pop/Rock",Pop/Rock,0
MT0000080053,MT0000080053,Q1,Country,Country,1
MT0000082188,MT0000082188,Q3,Pop/Rock,Pop/Rock,0
MT0000089238,MT0000089238,Q2,Rap,Rap,4
MT0000089410,MT0000089410,Q4,"Easy Listening,Jazz,Pop/Rock",Pop/Rock,0
MT0000091401,MT0000091401,Q1,"Pop/Rock,Rock & Roll,Instrumental Rock",Pop/Rock,0
MT0000091781,MT0000091781,Q3,"Classical,Pop/Rock",Pop/Rock,0
MT0000093583,MT0000093583,Q1,"Electronic,R&B",Electronic,5
MT0000095414,MT0000095414,Q3,Pop/Rock,Pop/Rock,0
MT0000097948,MT0000097948,Q4,"Jazz,Vocal",Jazz,2
MT0000103049,MT0000103049,Q4,"Country,Religious",Country,1
MT0000103874,MT0000103874,Q1,"Country-Pop,Country",Country,1
MT0000105492,MT0000105492,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0000117176,MT0000117176,Q4,"Jazz,Vocal",Jazz,2
MT0000119701,MT0000119701,Q4,"Jazz,Vocal",Jazz,2
MT0000124779,MT0000124779,Q3,Pop/Rock,Pop/Rock,0
MT0000128573,MT0000128573,Q1,"Holiday,Stage & Screen",Holiday,11
MT0000135916,MT0000135916,Q4,"Holiday,Vocal",Vocal,6
MT0000144160,MT0000144160,Q4,"Country,Holiday,Pop/Rock",Pop/Rock,0
MT0000145509,MT0000145509,Q2,Pop/Rock,Pop/Rock,0
MT0000147182,MT0000147182,Q4,Pop/Rock,Pop/Rock,0
MT0000151451,MT0000151451,Q4,"International,Pop/Rock",Pop/Rock,0
MT0000151529,MT0000151529,Q3,Country,Country,1
MT0000162219,MT0000162219,Q3,Country,Country,1
MT0000171852,MT0000171852,Q3,"Jazz,Vocal",Jazz,2
MT0000174580,MT0000174580,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0000175597,MT0000175597,Q3,"Folk,Pop/Rock,Singer/Songwriter",Pop/Rock,0
MT0000177878,MT0000177878,Q4,"Jazz,Vocal",Jazz,2
MT0000185453,MT0000185453,Q3,Jazz,Jazz,2
MT0000186467,MT0000186467,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0000192982,MT0000192982,Q3,"Rock & Roll,Rockabilly,Pop/Rock",Pop/Rock,0
MT0000197431,MT0000197431,Q1,Pop/Rock,Pop/Rock,0
MT0000202045,MT0000202045,Q4,Reggae,Reggae,8
MT0000214287,MT0000214287,Q3,Country,Country,1
MT0000218346,MT0000218346,Q4,"New Age,Pop/Rock,Religious",Pop/Rock,0
MT0000231442,MT0000231442,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000231784,MT0000231784,Q2,Rap,Rap,4
MT0000245808,MT0000245808,Q1,"Blues,Jazz,R&B",R&B,3
MT0000252574,MT0000252574,Q1,Pop/Rock,Pop/Rock,0
MT0000255724,MT0000255724,Q3,"Pop/Rock,Stage & Screen",Pop/Rock,0
MT0000258646,MT0000258646,Q2,Pop/Rock,Pop/Rock,0
MT0000265621,MT0000265621,Q4,"Electronic,Pop/Rock",Pop/Rock,0
MT0000268576,MT0000268576,Q3,Pop/Rock,Pop/Rock,0
MT0000271454,MT0000271454,Q1,"Jazz,Pop/Rock,R&B",Pop/Rock,0
MT0000271970,MT0000271970,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000277032,MT0000277032,Q4,International,International,10
MT0000277633,MT0000277633,Q3,Pop/Rock,Pop/Rock,0
MT0000283043,MT0000283043,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0000287921,MT0000287921,Q2,"International,Pop/Rock",Pop/Rock,0
MT0000289116,MT0000289116,Q3,Country,Country,1
MT0000292000,MT0000292000,Q4,R&B,R&B,3
MT0000293345,MT0000293345,Q3,Pop/Rock,Pop/Rock,0
MT0000299291,MT0000299291,Q3,"Electronic,Pop/Rock",Pop/Rock,0
MT0000310204,MT0000310204,Q1,R&B,R&B,3
MT0000312152,MT0000312152,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0000315363,MT0000315363,Q1,Pop/Rock,Pop/Rock,0
MT0000315392,MT0000315392,Q3,"Jazz,Vocal",Jazz,2
MT0000318206,MT0000318206,Q2,Pop/Rock,Pop/Rock,0
MT0000318279,MT0000318279,Q4,"Jazz,Vocal",Jazz,2
MT0000320757,MT0000320757,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0000321824,MT0000321824,Q4,"Electronic,Pop/Rock",Pop/Rock,0
MT0000325093,MT0000325093,Q1,"Electronic,Latin,Pop/Rock,R&B",Pop/Rock,0
MT0000335310,MT0000335310,Q4,"Folk,Holiday",Holiday,11
MT0000348553,MT0000348553,Q4,Folk,Folk,12
MT0000353361,MT0000353361,Q3,Country,Country,1
MT0000380307,MT0000380307,Q4,Vocal,Vocal,6
MT0000380971,MT0000380971,Q3,Pop/Rock,Pop/Rock,0
MT0000391566,MT0000391566,Q4,Electronic,Electronic,5
MT0000408441,MT0000408441,Q3,Blues,Blues,7
MT0000409922,MT0000409922,Q4,Pop/Rock,Pop/Rock,0
MT0000419956,MT0000419956,Q2,Pop/Rock,Pop/Rock,0
MT0000421504,MT0000421504,Q4,"Pop/Rock,Vocal",Pop/Rock,0
MT0000426880,MT0000426880,Q1,Electronic,Electronic,5
MT0000446304,MT0000446304,Q3,"Jazz,Vocal",Jazz,2
MT0000456939,MT0000456939,Q2,"Electronic,International,Pop/Rock,Religious",Pop/Rock,0
MT0000460480,MT0000460480,Q4,"Jazz,Vocal",Jazz,2
MT0000463371,MT0000463371,Q2,Pop/Rock,Pop/Rock,0
MT0000475876,MT0000475876,Q1,"Electronic,Latin,Pop/Rock,R&B",Pop/Rock,0
A198,L198,Q4,"Classic Female Blues,Traditional Pop,Blues,Vocal Jazz,Vocal",Vocal,6
MT0000497520,MT0000497520,Q1,Pop/Rock,Pop/Rock,0
MT0000515256,MT0000515256,Q3,Vocal,Vocal,6
MT0000518591,MT0000518591,Q1,"Electronic,R&B",Electronic,5
MT0000523576,MT0000523576,Q4,"Holiday,Vocal",Vocal,6
MT0000526302,MT0000526302,Q4,Reggae,Reggae,8
MT0000526867,MT0000526867,Q3,Pop/Rock,Pop/Rock,0
MT0000534539,MT0000534539,Q3,"Pop/Rock,Stage & Screen,Vocal",Pop/Rock,0
MT0000540286,MT0000540286,Q1,Jazz,Jazz,2
MT0000546446,MT0000546446,Q1,"Electronic,Pop/Rock",Pop/Rock,0
MT0000547065,MT0000547065,Q3,Pop/Rock,Pop/Rock,0
MT0000553622,MT0000553622,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0000556349,MT0000556349,Q1,Jazz,Jazz,2
MT0000567692,MT0000567692,Q3,Pop/Rock,Pop/Rock,0
MT0000599398,MT0000599398,Q4,"Pop/Rock,Prog-Rock,Psychedelic/Garage,Art Rock,British Psychedelia",Pop/Rock,0
MT0000603561,MT0000603561,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000604234,MT0000604234,Q2,Pop/Rock,Pop/Rock,0
MT0000615489,MT0000615489,Q1,"Electronic,International",Electronic,5
MT0000619767,MT0000619767,Q3,Pop/Rock,Pop/Rock,0
MT0000621840,MT0000621840,Q1,Pop/Rock,Pop/Rock,0
MT0000630628,MT0000630628,Q4,"Folk,Pop/Rock",Pop/Rock,0
MT0000633351,MT0000633351,Q4,Vocal,Vocal,6
MT0000638424,MT0000638424,Q4,Pop/Rock,Pop/Rock,0
MT0000638634,MT0000638634,Q4,Pop/Rock,Pop/Rock,0
MT0000643201,MT0000643201,Q3,Pop/Rock,Pop/Rock,0
MT0000652082,MT0000652082,Q4,"Brill Building Pop,Pop/Rock,Easy Listening,Waltz,Early Pop/Rock",Pop/Rock,0
MT0000661250,MT0000661250,Q3,"Blues,Pop/Rock",Pop/Rock,0
MT0000664362,MT0000664362,Q1,"Jazz,Vocal",Jazz,2
MT0000670865,MT0000670865,Q4,Pop/Rock,Pop/Rock,0
MT0000672880,MT0000672880,Q1,"Electronic,Pop/Rock",Pop/Rock,0
MT0000685324,MT0000685324,Q3,"Jazz,Pop/Rock",Pop/Rock,0
MT0000685538,MT0000685538,Q3,Country,Country,1
MT0000688115,MT0000688115,Q3,"Pop/Rock,Vocal",Pop/Rock,0
MT0000688312,MT0000688312,Q3,Pop/Rock,Pop/Rock,0
MT0000704913,MT0000704913,Q1,Pop/Rock,Pop/Rock,0
MT0000712071,MT0000712071,Q1,Pop/Rock,Pop/Rock,0
MT0000714708,MT0000714708,Q1,"Club/Dance,Pop/Rock,Dance-Pop",Pop/Rock,0
MT0000720686,MT0000720686,Q3,Pop/Rock,Pop/Rock,0
MT0000721873,MT0000721873,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0000723464,MT0000723464,Q4,Reggae,Reggae,8
MT0000724357,MT0000724357,Q2,Rap,Rap,4
MT0000727738,MT0000727738,Q3,Pop/Rock,Pop/Rock,0
MT0000734482,MT0000734482,Q4,Electronic,Electronic,5
MT0000741489,MT0000741489,Q2,Pop/Rock,Pop/Rock,0
MT0000754511,MT0000754511,Q4,Electronic,Electronic,5
MT0000763275,MT0000763275,Q3,Pop/Rock,Pop/Rock,0
MT0000764951,MT0000764951,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000766316,MT0000766316,Q1,Pop/Rock,Pop/Rock,0
MT0000775053,MT0000775053,Q4,Pop/Rock,Pop/Rock,0
MT0000776108,MT0000776108,Q3,Pop/Rock,Pop/Rock,0
MT0000780401,MT0000780401,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0000783307,MT0000783307,Q2,Pop/Rock,Pop/Rock,0
MT0000789330,MT0000789330,Q2,Pop/Rock,Pop/Rock,0
MT0000811092,MT0000811092,Q4,"Jazz,Vocal",Jazz,2
MT0000811743,MT0000811743,Q3,Country,Country,1
MT0000848769,MT0000848769,Q4,"Blues,Jazz,Vocal",Jazz,2
MT0000851865,MT0000851865,Q1,"Jazz,Vocal",Jazz,2
MT0000852582,MT0000852582,Q2,"International,Pop/Rock",Pop/Rock,0
MT0000853072,MT0000853072,Q3,Pop/Rock,Pop/Rock,0
MT0000854722,MT0000854722,Q1,"Pop/Rock,R&B",Pop/Rock,0
MT0000863232,MT0000863232,Q4,Reggae,Reggae,8
MT0000863543,MT0000863543,Q1,"Electronic,R&B",Electronic,5
MT0000874482,MT0000874482,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0000875199,MT0000875199,Q3,Pop/Rock,Pop/Rock,0
MT0000875520,MT0000875520,Q1,"Hard Rock,Heavy Metal,British Metal,Album Rock,Pop/Rock",Pop/Rock,0
MT0000886390,MT0000886390,Q1,Country,Country,1
MT0000888329,MT0000888329,Q4,Reggae,Reggae,8
MT0000889229,MT0000889229,Q3,"Blues,Easy Listening,Jazz,Pop/Rock",Pop/Rock,0
MT0000895003,MT0000895003,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000900387,MT0000900387,Q2,Rap,Rap,4
MT0000900995,MT0000900995,Q4,Jazz,Jazz,2
MT0000920227,MT0000920227,Q4,"Country,Religious",Country,1
MT0000927561,MT0000927561,Q2,"Art Rock,Psychedelic/Garage,Prog-Rock,Pop/Rock,British Psychedelia",Pop/Rock,0
MT0000931402,MT0000931402,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0000954088,MT0000954088,Q1,Vocal,Vocal,6
MT0000956340,MT0000956340,Q2,Rap,Rap,4
MT0000984023,MT0000984023,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0000992846,MT0000992846,Q1,Pop/Rock,Pop/Rock,0
MT0001016068,MT0001016068,Q3,Blues,Blues,7
MT0001020011,MT0001020011,Q4,"Classical,Religious",Religious,9
MT0001032211,MT0001032211,Q4,"Electronic,Pop/Rock",Pop/Rock,0
MT0001042055,MT0001042055,Q4,"Country,Holiday",Country,1
MT0001043721,MT0001043721,Q2,Rap,Rap,4
MT0001053268,MT0001053268,Q1,"Electronic,R&B",Electronic,5
MT0001058887,MT0001058887,Q4,"Pop/Rock,R&B",Pop/Rock,0
MT0001062700,MT0001062700,Q3,Pop/Rock,Pop/Rock,0
MT0001101467,MT0001101467,Q2,"Electronic,Rap",Electronic,5
MT0001102610,MT0001102610,Q3,Country,Country,1
MT0001104467,MT0001104467,Q3,"Contemporary Country,Country,Neo-Traditionalist Country",Country,1
MT0001106114,MT0001106114,Q4,Jazz,Jazz,2
MT0001115644,MT0001115644,Q3,Country,Country,1
MT0001116511,MT0001116511,Q2,Pop/Rock,Pop/Rock,0
MT0001134958,MT0001134958,Q3,Country,Country,1
MT0001152165,MT0001152165,Q4,R&B,R&B,3
MT0001152664,MT0001152664,Q3,Pop/Rock,Pop/Rock,0
MT0001153847,MT0001153847,Q1,"Pop/Rock,Club/Dance,Contemporary Pop/Rock",Pop/Rock,0
MT0001168323,MT0001168323,Q4,"Holiday,R&B",R&B,3
MT0001169715,MT0001169715,Q1,Pop/Rock,Pop/Rock,0
MT0001183783,MT0001183783,Q4,"Blues,Jazz,Vocal",Jazz,2
MT0001189913,MT0001189913,Q1,"Easy Listening,Jazz,Vocal",Jazz,2
MT0001193202,MT0001193202,Q2,Pop/Rock,Pop/Rock,0
MT0001193331,MT0001193331,Q1,Pop/Rock,Pop/Rock,0
MT0001193971,MT0001193971,Q3,Country,Country,1
MT0001194164,MT0001194164,Q3,Pop/Rock,Pop/Rock,0
MT0001202986,MT0001202986,Q1,"Country,Pop/Rock",Pop/Rock,0
MT0001227219,MT0001227219,Q4,Jazz,Jazz,2
MT0001230298,MT0001230298,Q3,Country,Country,1
MT0001265984,MT0001265984,Q3,Pop/Rock,Pop/Rock,0
MT0001266436,MT0001266436,Q3,Pop/Rock,Pop/Rock,0
MT0001267997,MT0001267997,Q4,"Blues,Jazz",Jazz,2
MT0001277283,MT0001277283,Q3,Pop/Rock,Pop/Rock,0
MT0001284282,MT0001284282,Q1,"Electronic,Pop/Rock",Pop/Rock,0
MT0001287647,MT0001287647,Q2,Pop/Rock,Pop/Rock,0
MT0001297031,MT0001297031,Q3,Pop/Rock,Pop/Rock,0
MT0001298241,MT0001298241,Q3,Pop/Rock,Pop/Rock,0
MT0001301827,MT0001301827,Q4,"Blues,Jazz,R&B",R&B,3
MT0001305550,MT0001305550,Q3,"Pop/Rock,R&B",Pop/Rock,0
MT0001309422,MT0001309422,Q3,Country,Country,1
MT0001313815,MT0001313815,Q4,Reggae,Reggae,8
MT0001318718,MT0001318718,Q1,Pop/Rock,Pop/Rock,0
MT0001321861,MT0001321861,Q2,Rap,Rap,4
MT0001323755,MT0001323755,Q4,"Country,Religious",Country,1
MT0001331047,MT0001331047,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0001332899,MT0001332899,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0001335920,MT0001335920,Q1,"Country,Electronic,Pop/Rock",Pop/Rock,0
MT0001353828,MT0001353828,Q2,Rap,Rap,4
MT0001356476,MT0001356476,Q1,Pop/Rock,Pop/Rock,0
MT0001356637,MT0001356637,Q3,Pop/Rock,Pop/Rock,0
MT0001361436,MT0001361436,Q2,Pop/Rock,Pop/Rock,0
MT0001362313,MT0001362313,Q3,"Country,Pop/Rock",Pop/Rock,0
MT0001368531,MT0001368531,Q4,"Country,Folk",Country,1
MT0001372070,MT0001372070,Q3,"Nashville Sound/Countrypolitan,Country",Country,1
A048,L098,Q3,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock,Alternative Pop/Rock,College Rock",Pop/Rock,0
MT0001376988,MT0001376988,Q2,Pop/Rock,Pop/Rock,0
MT0001380360,MT0001380360,Q2,Pop/Rock,Pop/Rock,0
MT0001383277,MT0001383277,Q2,Rap,Rap,4
MT0001385947,MT0001385947,Q3,Country,Country,1
MT0001395462,MT0001395462,Q3,Country,Country,1
A194,L194,Q2,"Heavy Metal,Alternative Metal,Pop/Rock",Pop/Rock,0
MT0001404677,MT0001404677,Q3,"Jazz,Vocal",Jazz,2
MT0001435061,MT0001435061,Q3,"Blues,Pop/Rock",Pop/Rock,0
MT0001436086,MT0001436086,Q4,Vocal,Vocal,6
MT0001453285,MT0001453285,Q3,"Easy Listening,Jazz,Pop/Rock",Pop/Rock,0
MT0001477169,MT0001477169,Q4,"Country,Religious",Country,1
MT0001494812,MT0001494812,Q4,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0001497786,MT0001497786,Q3,Electronic,Electronic,5
MT0001509368,MT0001509368,Q1,Pop/Rock,Pop/Rock,0
MT0001510617,MT0001510617,Q2,Pop/Rock,Pop/Rock,0
MT0001511433,MT0001511433,Q4,"Country,Holiday",Country,1
MT0001514284,MT0001514284,Q1,Pop/Rock,Pop/Rock,0
MT0001515028,MT0001515028,Q4,"Country,Pop/Rock",Pop/Rock,0
MT0001518335,MT0001518335,Q3,"Blues,Country,Pop/Rock",Pop/Rock,0
MT0001521543,MT0001521543,Q1,Blues,Blues,7
MT0001523435,MT0001523435,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0001526514,MT0001526514,Q1,"International,R&B",R&B,3
MT0001528638,MT0001528638,Q4,"Holiday,Vocal",Vocal,6
MT0001531906,MT0001531906,Q4,"R&B,Religious",R&B,3
MT0001547111,MT0001547111,Q3,"Folk,Pop/Rock",Pop/Rock,0
MT0001553573,MT0001553573,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0001554870,MT0001554870,Q2,Pop/Rock,Pop/Rock,0
A002,L052,Q4,Pop/Rock,Pop/Rock,0
MT0001578777,MT0001578777,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0001583214,MT0001583214,Q2,"Pop/Rock,Stage & Screen",Pop/Rock,0
MT0001590644,MT0001590644,Q2,Pop/Rock,Pop/Rock,0
MT0001594582,MT0001594582,Q4,"Children's,Folk,Pop/Rock",Pop/Rock,0
MT0001595082,MT0001595082,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0001608499,MT0001608499,Q3,Pop/Rock,Pop/Rock,0
MT0001609615,MT0001609615,Q4,"Country,Pop/Rock",Pop/Rock,0
MT0001610102,MT0001610102,Q1,Electronic,Electronic,5
MT0001613887,MT0001613887,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0001615005,MT0001615005,Q2,Pop/Rock,Pop/Rock,0
MT0001624303,MT0001624303,Q4,"Pop/Rock,Vocal",Pop/Rock,0
MT0001634305,MT0001634305,Q3,Pop/Rock,Pop/Rock,0
MT0001638394,MT0001638394,Q4,"Jazz,Pop/Rock",Pop/Rock,0
MT0001639011,MT0001639011,Q1,"Electronic,Pop/Rock",Pop/Rock,0
MT0001641165,MT0001641165,Q2,Rap,Rap,4
MT0001642019,MT0001642019,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0001646256,MT0001646256,Q3,"Jazz,Pop/Rock",Pop/Rock,0
MT0001648703,MT0001648703,Q2,Pop/Rock,Pop/Rock,0
MT0001671399,MT0001671399,Q1,Children's,Children's,18
A114-120,L004-120,Q1,"R&B,Quiet Storm,Urban",R&B,3
MT0001673884,MT0001673884,Q3,"Jazz,Vocal",Jazz,2
MT0001699798,MT0001699798,Q4,"Folk,Pop/Rock",Pop/Rock,0
MT0001710592,MT0001710592,Q2,Pop/Rock,Pop/Rock,0
MT0001729778,MT0001729778,Q4,"Electronic,Latin,Pop/Rock,R&B",Pop/Rock,0
MT0001738256,MT0001738256,Q2,Pop/Rock,Pop/Rock,0
MT0001741017,MT0001741017,Q1,"Pop/Rock,R&B",Pop/Rock,0
MT0001765726,MT0001765726,Q4,"Pop/Rock,Stage & Screen",Pop/Rock,0
MT0001770136,MT0001770136,Q1,"Electronic,Pop/Rock",Pop/Rock,0
MT0001779167,MT0001779167,Q2,Pop/Rock,Pop/Rock,0
MT0001795697,MT0001795697,Q1,Pop/Rock,Pop/Rock,0
MT0001810607,MT0001810607,Q3,Reggae,Reggae,8
MT0001829666,MT0001829666,Q1,R&B,R&B,3
MT0001831738,MT0001831738,Q1,Country,Country,1
MT0001835551,MT0001835551,Q2,Pop/Rock,Pop/Rock,0
MT0001841416,MT0001841416,Q3,Blues,Blues,7
MT0001862892,MT0001862892,Q3,"Pop/Rock,R&B",Pop/Rock,0
MT0001889075,MT0001889075,Q2,Rap,Rap,4
MT0001889244,MT0001889244,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0001891260,MT0001891260,Q3,"Country,Pop/Rock",Pop/Rock,0
A182,L182,Q2,"Hardcore Rap,Rap",Rap,4
MT0001899447,MT0001899447,Q3,Country,Country,1
MT0001899867,MT0001899867,Q1,R&B,R&B,3
MT0001920501,MT0001920501,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0001927921,MT0001927921,Q2,Pop/Rock,Pop/Rock,0
MT0001929641,MT0001929641,Q3,"Blues,R&B",R&B,3
MT0001934410,MT0001934410,Q2,Pop/Rock,Pop/Rock,0
MT0001934726,MT0001934726,Q3,"Blues,R&B",R&B,3
MT0001943830,MT0001943830,Q4,"Country,Pop/Rock,Religious",Pop/Rock,0
MT0001949173,MT0001949173,Q4,"Pop/Rock,R&B",Pop/Rock,0
MT0001954919,MT0001954919,Q4,"New Age,Pop/Rock",Pop/Rock,0
MT0001963447,MT0001963447,Q2,Pop/Rock,Pop/Rock,0
MT0001967655,MT0001967655,Q4,"Country,Pop/Rock",Pop/Rock,0
MT0001972380,MT0001972380,Q3,"Jazz,New Age,Pop/Rock",Pop/Rock,0
MT0001972829,MT0001972829,Q3,"Blues,Pop/Rock",Pop/Rock,0
MT0001980613,MT0001980613,Q4,"Country,International",Country,1
MT0001988811,MT0001988811,Q3,"Folk,Pop/Rock",Pop/Rock,0
MT0001992879,MT0001992879,Q2,Pop/Rock,Pop/Rock,0
MT0001993588,MT0001993588,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0002006862,MT0002006862,Q1,"Stage & Screen,Vocal",Vocal,6
